service,2022-W00,2022-W01,2022-W02,2022-W03,2022-W04,2022-W05,2022-W06,2022-W07,2022-W08,2022-W09,2022-W10,2022-W11,2022-W12,2022-W13,2022-W14,2022-W15,2022-W16,2022-W17,2022-W18,2022-W19,2022-W20,2022-W21,2022-W22,2022-W23,2022-W24,2022-W25,2022-W26,2022-W27,2022-W28,2022-W29,2022-W30,2022-W31,2022-W32,2022-W33,2022-W34,2022-W35,2022-W36,2022-W37,2022-W38,2022-W39,2022-W40,2022-W41,2022-W42,2022-W43,2022-W44,2022-W45,2022-W46,2022-W47,2022-W48,2022-W49,2022-W50,2022-W51,2022-W52
alza-webapi,1094,8483,9056,9167,2834,14833,15938,12811,10667,16757,18017,12937,14594,12382,10904,8613,10129,11377,17462,11554,11339,10014,9493,9451,10601,9719,6882,4340,5876,5935,5286,5285,5854,5196,5323,5859,6568,7063,8314,7001,8043,8783,8444,6109,8899,11629,10271,12810,10289,11522,2791,3444,1167
amazon-advertising,3363,30654,24282,33730,20362,26192,34608,41897,39035,62117,62109,41342,47443,50649,53183,42917,51547,57751,57754,54807,53836,37739,29417,43101,44359,42907,29172,19079,26900,25099,25350,26855,27956,30643,32125,29485,29708,34671,44708,43344,45836,50755,52253,44781,70413,70078,54978,47291,45273,46006,23041,24916,4569
amazon-alexa,818,2612,2445,1929,743,1845,2107,2914,2894,3843,4093,3500,3452,4631,4278,3561,3574,3936,7576,7628,4703,6842,6026,4814,4341,3948,2640,2209,2642,2621,2888,2895,2453,2329,2366,1654,2182,3101,3584,3815,4266,4659,4504,4015,4935,3987,3657,3910,3752,6106,2519,3725,1098
amazon-prime,1323,5069,7214,4403,1359,4313,13066,11636,10567,9191,8439,7665,7683,8846,10600,8656,8938,10328,11220,10087,8724,8276,7765,7455,7445,6885,4356,5334,4416,4626,4457,3877,2631,3194,3592,2674,6540,7450,9982,11767,10810,12404,12883,9486,12543,10660,10374,10871,9995,11587,2841,3436,1749
apple-icloud,3212,15786,12772,11510,5952,10153,16182,17393,15958,28470,41417,36624,47876,52634,45902,40046,40604,74068,52004,30732,36533,52120,59599,53598,64323,51290,46370,38553,49791,44778,48938,49777,42296,41604,55259,43730,48293,47100,60626,48751,52585,61880,57410,52730,62211,76804,61250,58581,69571,47971,23602,54089,11474
apple-itunes,21455,127293,109955,133803,54623,125064,143032,192725,126832,115173,104859,95747,123228,114252,111028,84933,107740,127794,138042,108390,126480,144949,135849,155254,158755,147348,89710,62371,70767,50093,46941,62974,73777,59597,83903,85336,78520,126080,165482,178109,214831,211702,229432,186693,225083,241629,195034,232047,226486,189759,61152,139509,26877
apple-location,6777,45481,36602,47728,22287,41177,49739,65028,53269,79997,70655,62307,79115,78485,66811,48624,62385,82389,82951,60355,115571,108823,100331,102770,100658,94048,65811,45842,56351,43387,43126,44123,52548,48749,64732,67750,64899,92060,122256,120391,144391,148520,155197,126140,155845,203022,172381,206970,200044,178066,72681,106473,18974
apple-ocsp,904,9268,9303,8065,4605,7333,14468,14661,8247,19036,18517,15240,14525,10317,7698,3655,6121,6902,9977,10598,10937,11519,9390,7245,7381,7275,4780,4407,8140,7470,5290,4708,7072,7138,6831,6616,10806,9833,10351,9873,14988,12410,11093,7975,11396,10600,8332,9712,8242,6767,2794,7105,2276
apple-pancake,1258,5094,6499,10474,5715,15038,9039,19320,16217,16769,16866,13015,14006,14661,14127,11365,12383,12963,14442,14035,13074,12485,11826,12178,11422,10480,7573,5407,6587,6023,5602,5682,5815,6029,6825,7119,8798,11934,17042,17273,19303,19791,20775,17623,22455,22824,18251,17072,16899,12260,6166,13870,2818
apple-siri,2152,11536,9700,8885,2511,11910,12586,23845,23660,26026,25253,22423,27131,28711,28263,23350,24684,10074,2674,7636,1094,1527,1710,3318,3947,4783,2606,1427,2327,2501,2602,2611,2959,3788,3777,2963,3933,3047,4557,4952,6299,6691,5738,4663,10585,4092,3276,4455,4465,7254,2841,2035,397
apple-updates,6648,43018,36661,43931,22845,36018,43071,58319,48144,66073,58944,55884,67168,63448,67257,47063,62808,74572,78770,68158,78692,73850,64554,74984,69372,60241,39155,32763,35428,22362,12537,17031,22713,15595,27496,27078,25724,40127,53605,42032,43052,44147,40711,32151,40938,45675,34573,42383,37229,29016,9989,38654,8230
apple-weather,4432,28659,26675,31063,10748,30951,33331,49789,36884,53981,53054,40682,60781,59912,59460,43963,46295,50731,57226,49257,41781,38551,36963,35695,37463,38205,27751,17734,21258,20412,20680,20142,19941,21362,22680,23478,30160,44085,64617,65082,75974,55483,53424,45240,25258,9030,14163,19913,21572,25849,20858,24792,3025
appnexus,15432,201772,203855,251341,167376,199384,223186,271514,218609,309800,275582,238466,296029,288536,296759,232233,255580,292988,315018,291833,315398,306549,276373,284841,282960,263258,208519,114737,197418,175810,177780,166918,179155,183742,198819,190504,191862,221517,245780,213206,237770,246499,249477,197618,260742,241042,200501,251040,251372,245669,126112,184670,34243
aukro-backend,1933,7051,8519,10441,2084,10251,11049,12553,9689,9661,9315,8881,10809,10100,11791,10802,10490,13948,15607,7429,12538,11960,8115,46565,5350,4895,3882,2676,5295,5478,5370,5339,4989,5145,5204,6141,6525,7475,6786,4794,5593,6911,7885,7353,9821,9772,8262,4757,4124,4189,2482,6264,1291
autodesk,5044,38859,27294,35856,21330,26644,44300,46618,46267,64087,70699,60154,63947,55329,84111,79724,116585,121128,138033,118404,84384,38920,42104,27613,34642,39743,160820,130346,63444,27290,15189,6487,7783,8005,10143,12564,13346,24816,35530,43579,48263,56085,53158,45069,55963,59723,54488,90160,83403,73277,27952,16541,1344
avast,9019,59645,55165,64268,32630,59825,75608,80466,61757,110406,103635,68345,91362,88855,83877,64156,73635,101162,108998,106876,104370,93971,89139,88640,88475,83013,62117,46141,55184,50300,48980,47309,44555,37819,42593,41107,44577,48644,59107,57310,57418,58582,60989,52155,54987,60126,44785,58152,53984,46762,20130,24458,3837
bing,10996,75170,71047,82465,28441,101876,109421,127869,101550,138216,132227,125216,158610,164562,162455,125122,132234,154099,169150,161272,141794,139793,135167,133413,149419,151048,116104,70536,104118,99612,96279,97128,98633,102904,107688,118595,127230,134323,155409,141965,165515,178724,181900,159744,222469,232942,187299,220009,229285,225301,111552,144831,29227
bitdefender-gravityzone,13613,51258,52170,61009,37826,6240,26569,24405,24559,32639,35035,29208,35374,33101,36704,33415,48835,38595,39949,41800,39343,40416,39786,39784,42373,38601,34102,31044,27486,25754,23485,21600,20698,21062,2408,1242,5425,7210,1690,5031,5909,1917,10435,1114,5559,1109,2066,2424,2398,2243,2701,5676,2123
bitdefender-nimbus,2108,9093,9623,5747,2681,3982,39012,42199,25289,34272,38472,30092,43487,46053,45453,27635,35325,48637,49762,52277,51101,43018,52447,45865,43790,45792,37001,31475,28241,25892,25682,22325,21186,18107,24905,25425,27737,22329,5575,7338,8541,8428,15310,6232,4826,8201,5349,8098,7644,7142,5180,4014,380
booking-com,952,12894,9428,7528,4328,7700,10864,13004,8338,10628,9299,8028,10514,12275,13772,9656,10740,12424,13973,13999,13649,15909,14538,15187,14547,14990,11539,7614,10115,10629,9736,10807,10284,10407,9490,7952,8940,8330,9243,8305,9181,9616,9969,8127,9614,7711,6206,7002,7118,6748,3598,5693,1546
cesnet-filesender,98,473,397,2194,225,1486,706,965,591,659,854,1228,828,756,1580,401,616,1089,1105,1152,1537,675,798,683,548,1331,1750,969,1280,1434,1456,1380,738,695,2482,964,637,2218,660,5591,628,587,675,688,789,2484,600,903,11457,550,174,301,202
cesnet-gerrit,189,3289,4573,7328,8979,4045,10334,8897,6604,9097,9057,7549,5301,4537,4780,3072,1434,1258,1628,1549,2719,3318,3784,4473,4024,3339,3876,5093,1976,3468,3847,5642,5033,1827,1923,2676,3021,2519,806,4270,8237,8356,6872,7537,8291,8331,11135,10644,9304,6269,4307,7415,2853
cesnet-kalendar,656,2142,1597,2639,753,3891,2922,2694,2114,2666,1783,2396,1796,1769,1136,911,12338,6988,10983,7305,3974,859,830,4552,14999,31078,29591,28515,12792,5831,5770,6343,5920,5596,5952,7267,12076,11894,10904,11404,11873,9449,11804,8379,8395,7916,7775,8262,8621,8912,1513,2513,815
cesnet-login,4941,23085,5770,5448,1591,6673,1162,1378,4122,6728,20658,1690,1959,7356,6133,859,2357,7335,7348,5413,1278,1234,1179,1016,1894,8723,2418,2064,6569,9412,9872,4621,2347,935,3498,1827,2383,1886,948,1489,2315,1884,38884,10589,5394,1014,12093,4178,3754,1755,413,906,240
cesnet-nerd,2532,6266,9100,6515,2942,3718,4975,5752,5382,12881,11911,5977,3479,6008,8670,6084,8758,11663,5198,3915,5212,5589,6348,4777,4590,4031,5287,6065,4925,1984,3357,1923,3072,4011,2380,1660,2472,2264,1439,3036,4254,4696,5957,6601,8285,5946,6834,6496,6148,7023,2145,2823,1096
cesnet-perun,279,644,1221,1401,294,1154,2290,1127,749,705,432,677,463,490,382,201,549,396,951,764,309,188,330,353,486,313,501,309,340,477,814,560,385,4973,14639,456,333,561,629,473,564,403,510,338,748,537,442,457,388,595,24,3025,159
chmi,6945,27382,21405,31104,7032,45734,41832,39711,29117,27950,22142,24377,28837,35965,19276,10503,22429,35145,44492,35060,44089,40815,44660,39775,34284,42587,41269,21233,23566,25394,43584,33110,16175,31265,33983,23928,29991,28027,25049,25800,19416,21786,23103,19110,22307,17866,17457,29535,32542,34931,14423,17699,3852
chrome-remotedesktop,1691,5350,3901,3400,1915,2990,16438,21069,10985,11033,10928,11157,11831,11595,11754,10636,11439,11618,12848,11770,10180,8269,7815,7485,7259,7229,5901,5801,5914,5643,5765,6072,5458,4843,5541,5992,5709,3897,1692,1736,4493,5042,5325,4910,4998,5511,4944,5173,5181,5104,3701,3799,797
ctu-felmail,3773,11436,8501,11655,3721,10313,8918,9370,8679,10971,10946,9606,11584,11096,11085,9145,10332,9817,11879,12515,11405,12831,12064,11641,11978,11484,10116,11914,9230,7934,8033,7889,8368,9114,9667,10933,11280,11354,13431,13974,13416,11028,11622,10880,13227,14400,13181,12361,14732,12510,3067,6404,1549
ctu-idp2,2855,10384,8683,8762,3688,6637,6025,8860,6501,9489,9272,8708,8841,10706,8863,5285,14993,6511,8555,7948,5265,4175,3731,3280,3932,4384,3686,3474,3069,2620,2746,3573,3348,2861,3723,4501,5185,5819,10215,9629,12359,10480,10378,9893,11094,13426,11740,12035,11617,10769,3170,5950,1736
ctu-kos,2445,8209,7261,10159,4364,13527,12231,8173,7513,10590,8519,6654,8165,8455,9131,8963,10539,11893,15749,23944,13197,9668,9198,8605,7021,5205,4292,3051,7644,8405,8028,9835,9846,12787,20920,16831,17567,16174,36410,12859,10718,7393,9171,11970,15955,13114,13088,15805,16782,19061,4530,5463,1433
ctu-kosapi,120,322,272,312,146,346,266,505,342,364,337,424,429,679,526,214,260,286,348,309,209,158,130,147,254,130,76,89,81,100,72,205,170,74,120,107,133,334,685,779,847,734,890,687,922,794,736,643,781,673,204,333,110
ctu-matrix,1920,5734,7208,6259,3253,6152,6326,12544,10248,14492,14431,13224,15515,15191,14453,12605,14060,14575,14199,14535,11857,13253,13950,16112,16468,17794,15597,11692,6901,7601,6617,6679,6609,6339,7030,5728,6566,6864,6520,6516,5640,5558,5499,5361,5832,5093,6027,7049,8956,6794,4668,6784,1560
datova-schranka,1585,7985,7622,9902,3189,18313,19169,20495,15601,22232,21881,15992,17268,16858,11514,2714,8010,23491,18317,14554,14421,13588,12254,14025,15632,11117,11280,9262,9535,8821,9191,8983,8244,8064,8336,9162,7861,7231,7649,7372,7202,7281,7535,6606,8628,8646,7250,8319,8264,7883,5702,8880,2847
discord,5090,29368,28770,31458,6783,30326,35356,45244,36328,46814,44669,39830,50610,52715,53706,38817,43360,54474,55003,50811,45947,42254,40762,37784,35402,29084,19145,14299,21297,22841,22687,21099,19561,21513,24431,29718,35463,47831,71629,72900,59462,58074,59097,47859,60147,61544,50826,61398,58561,58757,32743,29327,4323
docker-authentication,3426,9738,11749,15388,5908,14789,17540,17925,13739,17371,17207,15680,16351,14731,19011,18753,18094,19376,20320,18540,16258,17371,15370,13186,14538,16601,13826,1217,99,253,103,86,69,65,52,82,60,59,76,82,83,157,146,187,209,463,316,400,1112,1279,573,7778,2045
docker-registry,6389,18585,16889,21273,10910,22506,24085,24270,19177,23380,23388,21337,21896,20723,24952,24307,23022,24468,25649,23653,21642,26147,22268,18717,19874,21097,18846,18387,19832,26686,23609,25495,21481,14673,24937,17243,19080,17439,13450,10559,9130,13746,17140,17277,16990,10715,14086,17701,16762,18092,13402,18035,7997
doh,8011,40619,63479,74704,31302,68416,106625,166533,124191,196241,223935,197743,256524,232407,230903,148255,176137,239037,248126,247105,205347,191219,184959,171530,161921,138936,82190,70390,68626,59373,60156,57623,57322,61627,68268,68337,109192,117647,184256,207748,212095,214062,223345,186870,182751,246571,195896,262682,268520,260107,137107,116700,14113
dopravni-info,4174,11348,11946,24071,6014,108648,52433,20506,23933,29177,20931,18575,25306,24420,18903,10889,14234,43193,25822,24189,65837,31134,16364,8161,5407,3817,3312,1620,1943,20480,34939,47143,50055,38860,34068,22689,32489,34144,47438,50337,25347,7002,8803,7919,8307,6122,6064,7206,7640,8918,5613,8545,2126
dropbox,19080,90379,93351,105339,61509,97526,100626,111572,84824,111159,108915,98609,116935,116318,115523,100559,101592,110781,113863,110059,105221,106485,103795,103351,99720,95030,81159,67035,76929,76196,74054,73087,70177,72211,75645,67452,74454,80092,85582,81014,84070,85178,83220,73872,89193,75644,74016,85093,86638,73637,36221,63827,16899
duckduckgo,1344,7522,6303,7999,1819,11426,18974,9933,8266,10539,10452,9306,11745,11920,11821,9617,10549,12264,12455,11787,10746,10147,10316,9223,8941,7967,5698,3630,5074,5276,5357,4940,4791,5211,5183,5878,6778,7765,9645,9600,11274,11181,11267,9373,12211,12429,9832,12257,12347,11376,4875,4428,726
ea-games,4728,34209,32154,61794,28438,33621,39200,65836,30208,66794,45406,38562,62264,58843,69867,34652,43280,39096,65641,43765,43371,46791,45007,40707,42974,39614,26072,18739,18690,18755,30089,29947,23242,20262,22771,22085,29046,33019,45088,47643,49053,49685,70328,57447,44329,31098,39063,57099,50992,44886,19753,15057,3629
edge-ntp,1967,15918,15708,16561,4620,17691,18339,23626,18287,24691,27095,24834,31707,34008,34767,27655,29703,36854,41317,39463,35908,36005,34050,34356,36414,32779,23549,12572,18820,16738,15851,15892,16382,17237,18141,20318,22310,23486,26379,26080,32318,35338,34548,29344,40784,42377,35501,38160,41227,44831,16884,19536,4431
eset-edf,10419,31850,28699,32199,7809,40491,41954,42480,35930,51992,62355,45648,44303,41668,48181,36650,37678,39173,55591,53892,49991,47507,46417,38603,44038,41803,35533,29004,30899,22169,22658,21725,20744,22694,23735,23989,21779,26920,21620,25306,27323,29162,28332,23585,29276,29702,24198,27275,27846,26336,16236,22112,5545
eset-edtd,9605,26992,24644,29011,6664,38253,39794,39928,33610,43618,43434,39761,46887,47962,49015,47442,48677,52201,50570,50112,46399,42425,36666,36891,38976,38758,35572,35438,39962,38283,38914,39702,38970,51373,56601,55334,50846,49055,54148,51484,49652,48426,52363,56514,74018,75259,71098,72525,71460,69975,43885,73990,23678
eset-epns,1789,9923,9046,9106,5705,8158,9128,13099,9683,10488,11022,10097,13209,16179,14827,14750,14852,17473,14137,15535,14348,21636,17272,16900,16654,15317,14863,11963,13637,9420,8506,9037,9610,8997,9148,7271,8835,9478,10165,9078,9611,10157,9473,11142,15652,12478,13926,14859,15496,19004,6612,10470,3158
eset-esa,3112,9814,9485,10519,5481,9636,10352,10612,9161,10798,10824,9524,11218,11443,11196,10995,11278,10940,11026,11167,10833,11015,11111,11639,11283,10743,9986,10602,10151,5590,5649,5650,5726,6054,9044,5027,10452,11353,6253,10670,11286,11257,11037,10425,5835,0,0,0,278,0,0,0,0
eset-ts,3778,25793,24371,28368,17425,23182,34075,45357,31313,47200,46309,37165,45636,44553,47956,53671,76058,91380,46218,53123,44897,44752,44226,43836,47805,42359,36184,24058,28692,24102,21948,19951,22463,24016,25408,22006,25071,29201,29729,26952,40849,45643,45682,39242,49259,43673,39384,47736,49463,47019,20650,25746,5615
facebook-graph,28840,231786,167786,144512,71454,143470,209436,305198,235631,326316,288766,287807,386341,403344,372821,111148,198581,272267,378526,278099,130841,83273,73860,73966,117678,177076,132523,87264,109469,103883,102030,96238,103026,99986,110736,122391,154662,182096,246059,246305,298020,342137,300026,237221,294527,302882,241971,304602,309176,305707,25508,29342,5604
facebook-media,13609,109114,104732,115432,59839,97678,106870,145437,122366,167934,133685,137223,169808,168947,149268,47467,75867,102337,147952,118690,63556,45364,41353,41854,65401,98219,75788,47874,64609,58123,58238,53888,55581,58068,61355,66553,69931,79581,102634,96930,117134,125454,117237,94361,120134,120562,102702,128717,128487,118196,15860,20554,4168
facebook-messenger,8277,73158,71590,74861,37573,59342,66936,100189,79834,107425,91354,96587,139441,131638,118885,35843,59786,84766,120966,93282,49573,42334,38670,38914,67264,79122,62876,46366,42638,37909,37923,37094,37229,37985,43627,53301,63090,78580,102118,100821,120152,133220,120226,103792,128993,132142,104622,133233,138601,131691,15662,19121,4285
facebook-web,7160,61444,59842,69141,37600,58648,62674,84414,86005,96903,68879,70840,87379,91010,82357,26842,45511,60213,89969,70637,40611,37712,31482,30622,48793,79492,61740,37330,46435,36829,36655,34642,37432,39063,42056,43890,44825,48490,56367,50721,61577,70542,61913,48624,69312,76601,60875,73715,62219,59868,9302,13961,2973
fio-ib,463,5667,5631,6077,1971,9463,10011,10024,7493,12013,11913,9066,11003,11908,13161,11168,10989,12253,12717,8953,0,8,0,751,35477,19887,0,18,151,73,69,12745,25250,22377,13902,13381,12512,9381,25805,23027,29917,29258,14404,7307,12469,12052,8678,9501,10362,11412,4161,3483,5
firefox-accounts,1524,11935,10658,14415,8653,12260,13274,15827,11686,15547,14697,13042,16399,16089,17093,13428,14610,17375,17580,17266,16365,17245,15517,18019,15736,14526,11465,7226,10482,10786,10945,10356,10332,10543,11415,10210,11355,13399,15573,15715,17962,18620,15968,11346,21037,20984,16958,17982,17611,15504,7742,9444,1920
firefox-settings,1623,16949,16537,13767,6308,13155,17203,20740,18686,29095,25111,24781,24859,31569,27481,19083,25140,29690,32281,32652,30561,29962,26742,25931,29025,28187,18111,9635,13446,13197,12857,13527,11733,14601,15014,13657,15717,17044,19855,16278,21363,24421,22017,17633,11268,16128,14034,17691,18313,16537,8419,8822,918
font-awesome,871,9891,8206,10716,6229,7998,6713,8826,7197,10091,8037,3537,4547,4856,4341,3342,3925,5094,5811,3733,8373,11752,11723,12871,11378,8976,7124,4255,7364,5601,5457,5191,5496,5488,6000,6503,8353,9959,22130,17258,19749,23501,24904,18751,12700,12442,9035,14435,12420,11157,3617,4900,576
github,19235,51106,50004,26442,27052,25214,13932,20941,18085,22830,22786,20717,26416,28031,26304,24605,41394,55813,51660,53512,46972,20949,23384,24033,22415,21728,17337,14778,16359,17883,16885,17570,17327,17122,19089,18856,19843,23752,23990,20081,18999,19014,18834,15962,19883,12851,17162,22296,20629,13185,5981,17081,3465
gitlab,1507,3750,2894,3054,741,2390,3082,2470,2222,3468,3549,3857,4513,5017,4767,3647,4015,4145,5942,4737,3176,2625,2547,8702,3238,2887,2258,2905,3192,2692,2604,2476,2493,2568,2821,1838,1271,1337,1604,3973,5212,6208,6305,6282,8133,8389,13409,13995,11519,7215,4546,8756,11260
gmail,142,1488,4205,4528,2905,2896,9057,12317,7233,11336,12733,10613,15117,15964,15655,10040,10930,15254,14815,14510,13977,11744,12241,11894,11553,11023,7809,6681,5663,4750,4699,4673,4661,4468,9069,5739,9689,8161,7858,6713,8646,9111,8971,7938,6320,9784,7095,9574,9583,8532,1940,3568,196
google-ads,11134,139155,204069,152627,96893,107407,466835,662431,422093,670913,726872,647938,832925,889712,880790,492081,650728,875257,857263,855090,836228,687037,754321,676917,659457,720522,513082,416653,380295,349853,347213,340218,345811,310107,390044,338750,505832,427412,281059,249765,324571,328860,328848,286829,231625,340072,262737,347365,338131,320317,173962,153680,18756
google-authentication,2156,14422,27625,24873,15851,16962,82269,96795,48005,80687,103225,79369,99671,103923,102560,59135,77319,105166,100569,98689,95950,83669,92355,85303,80015,82869,54100,42526,36867,34407,33897,35803,39347,36235,42674,40725,66458,62399,46293,39576,51991,54550,55320,47337,35573,54052,40546,52345,51012,48121,24940,21108,1758
google-conncheck,4708,19213,31885,33069,18356,21697,108573,145349,102790,150560,150296,135671,175161,177361,164717,106948,128794,164690,158240,158844,153706,128026,135940,134245,129116,132957,104371,79364,66416,65991,70671,64233,57812,51540,58255,60083,96834,82075,62764,50953,67599,69452,72219,60926,51080,75439,58736,75962,77718,69346,40760,32846,3496
google-drive,1597,12059,15271,23625,16805,18922,24959,39666,32685,35390,44690,37029,46862,51568,53736,33816,39507,56706,47242,54647,67430,37808,31992,28147,23762,31756,21061,17667,17992,17060,15111,15985,14634,13005,24435,16064,21429,19299,13924,13796,15806,15224,16648,17592,12822,18916,14428,18676,18580,20101,10310,7820,834
google-fonts,2380,21422,33025,30949,20343,22600,98303,133396,85704,132333,138952,122696,154932,162639,162162,100143,122791,160613,156066,156936,150886,126784,142442,128832,119564,127878,92382,80320,79106,73589,73283,73651,76832,69734,88535,72400,97411,80171,49979,42580,59932,59122,59298,52423,44050,62724,46877,63138,60643,55987,29317,26864,3657
google-hangouts,1861,10651,14178,13212,9154,9288,59672,77357,42107,51559,52468,46477,56668,63516,59919,39819,45079,57148,68227,61328,60628,49494,58424,50525,43774,51092,33617,31606,23654,19608,19231,17252,15749,13609,17986,16616,27174,25910,18950,22160,20875,21603,22680,19919,15996,23740,18782,23170,22323,20956,11143,9921,1209
google-play,9524,57436,78110,70742,43505,52268,245957,341195,227507,359254,378735,313965,443889,479331,460360,288371,366428,477155,324250,415169,417163,365362,393188,362690,340646,339727,224543,177404,162151,153002,183388,181341,178159,167868,200806,185929,248359,207384,121921,114047,138091,152301,133541,119689,111287,155029,122389,159170,156570,147856,78147,66371,8191
google-safebrowsing,4915,29178,40017,35419,23039,26531,150148,208945,141185,225636,218275,203928,260857,272977,271404,174170,210061,278771,277816,278936,270894,229984,260900,242654,223517,245558,191539,170125,155776,141596,139212,138682,138709,120473,153606,142861,185496,158225,76328,63329,83065,85622,84397,74808,61394,89149,68470,90385,86274,84316,42880,39223,4270
google-services,3889,20473,32488,33897,21465,24952,88340,103567,69327,110723,120675,107004,137763,145165,144289,83805,111023,150959,146745,142908,135421,112294,119498,110959,103607,102486,73036,57895,50418,47569,46208,46465,42072,37925,49240,47442,67682,59693,52111,44803,61506,63742,64560,54860,44116,68217,52475,69370,68985,64960,33543,23172,2125
google-translate,1279,6921,10921,9212,5359,6809,29546,37951,21210,32844,32267,30682,39621,41055,41779,24996,27511,23253,20639,23292,22870,16018,19300,16148,15034,14403,10204,10305,9840,12649,9387,9324,8976,7421,9688,7560,9118,11806,4854,4621,6050,6320,6909,5411,5150,8611,7586,9570,9551,8687,3598,3476,409
